,createdAt,Luftdruck,Temperatur,UV-Intensität,rel. Luftfeuchte
280,2024-05-22 20:54:21.384000+00:00,,,0.0,
281,2024-05-22 20:55:21.555000+00:00,,16.24,0.0,75.79
282,2024-05-22 20:56:21.616000+00:00,1001.15,16.2,0.0,76.09
283,2024-05-22 20:57:21.736000+00:00,1001.16,16.27,0.0,75.89
284,2024-05-22 20:58:21.870000+00:00,1001.17,16.27,0.0,75.89
285,2024-05-22 20:59:22.745000+00:00,1001.18,16.27,0.0,75.68
286,2024-05-22 21:00:22.090000+00:00,1001.18,16.23,0.0,75.79
287,2024-05-22 21:01:22.214000+00:00,1001.18,16.23,0.0,75.89
288,2024-05-22 21:02:23.266000+00:00,1001.18,16.2,0.0,76.09
289,2024-05-22 21:03:23.461000+00:00,1001.17,16.21,0.0,75.99
290,2024-05-22 21:04:22.514000+00:00,1001.18,16.24,0.0,75.79
291,2024-05-22 21:05:22.706000+00:00,1001.18,16.28,0.0,75.48
292,2024-05-22 21:06:22.851000+00:00,1001.18,16.25,0.0,75.58
293,2024-05-22 21:07:22.905000+00:00,1001.19,16.14,0.0,75.89
294,2024-05-22 21:08:23.080000+00:00,1001.2,16.15,0.0,75.89
295,2024-05-22 21:09:23.222000+00:00,1001.23,16.09,0.0,76.12
296,2024-05-22 21:10:23.271000+00:00,1001.24,,0.0,
297,2024-05-22 21:11:23.472000+00:00,1001.25,,0.0,
298,2024-05-22 21:12:23.517000+00:00,,,0.0,
299,2024-05-22 21:13:23.660000+00:00,1001.27,,0.0,
300,2024-05-22 21:14:23.904000+00:00,1001.28,,0.0,
301,2024-05-22 21:15:23.932000+00:00,1001.28,,0.0,75.48
302,2024-05-22 21:16:24.085000+00:00,1001.3,,0.0,75.18
303,2024-05-22 21:17:24.238000+00:00,1001.31,16.31,0.0,75.18
304,2024-05-22 21:18:24.689000+00:00,1001.32,16.35,0.0,74.84
305,2024-05-22 21:19:24.423000+00:00,1001.33,16.39,0.0,74.74
306,2024-05-22 21:20:24.987000+00:00,1001.35,16.43,0.0,74.63
307,2024-05-22 21:21:24.630000+00:00,1001.36,16.41,0.0,74.84
308,2024-05-22 21:22:24.763000+00:00,1001.37,16.41,0.0,74.84
309,2024-05-22 21:23:24.934000+00:00,,,0.0,
310,2024-05-22 21:24:24.990000+00:00,,,0.0,
311,2024-05-22 21:25:25.124000+00:00,,,0.0,
312,2024-05-22 21:26:26.279000+00:00,,,0.0,
313,2024-05-22 21:27:25.356000+00:00,,,0.0,
314,2024-05-22 21:28:25.519000+00:00,,16.15,0.0,
315,2024-05-22 21:29:25.626000+00:00,,16.2,0.0,
316,2024-05-22 21:30:25.764000+00:00,,16.12,0.0,
317,2024-05-22 21:31:25.908000+00:00,,16.04,0.0,76.93
318,2024-05-22 21:32:26.850000+00:00,1001.49,16.05,0.0,77.14
319,2024-05-22 21:33:26.267000+00:00,1001.5,16.05,0.0,77.14
320,2024-05-22 21:34:26.350000+00:00,1001.51,16.15,0.0,76.9
321,2024-05-22 21:35:27.249000+00:00,1001.51,16.08,0.0,77.44
322,2024-05-22 21:36:26.607000+00:00,1001.51,16.07,0.0,77.44
323,2024-05-22 21:37:26.673000+00:00,1001.51,16.12,0.0,77.2
324,2024-05-22 21:38:26.821000+00:00,1001.52,16.14,0.0,77.1
325,2024-05-22 21:39:27.109000+00:00,1001.52,16.11,0.0,77.1
326,2024-05-22 21:40:27.123000+00:00,1001.52,16.15,0.0,77.0
327,2024-05-22 21:41:27.184000+00:00,1001.52,16.11,0.0,77.0
328,2024-05-22 21:42:28.261000+00:00,1001.53,16.04,0.0,77.34
329,2024-05-22 21:43:27.416000+00:00,1001.54,16.09,0.0,77.34
330,2024-05-22 21:44:27.562000+00:00,1001.54,16.11,0.0,77.24
331,2024-05-22 21:45:27.652000+00:00,1001.54,16.04,0.0,77.64
332,2024-05-22 21:46:28.256000+00:00,1001.54,15.84,0.0,
333,2024-05-22 21:47:27.896000+00:00,1001.54,15.9,0.0,77.95
334,2024-05-22 21:48:28.095000+00:00,1001.55,,0.0,
335,2024-05-22 21:49:28.087000+00:00,1001.56,,0.0,
336,2024-05-22 21:50:28.178000+00:00,1001.56,,0.0,
337,2024-05-22 21:51:28.222000+00:00,1001.56,16.02,0.0,
338,2024-05-22 21:52:28.366000+00:00,1001.56,16.09,0.0,77.14
339,2024-05-22 21:53:28.505000+00:00,1001.55,16.17,0.0,76.7
340,2024-05-22 21:54:28.635000+00:00,1001.54,16.23,0.0,76.59
341,2024-05-22 21:55:28.797000+00:00,1001.53,16.2,0.0,76.5
342,2024-05-22 21:56:28.848000+00:00,1001.51,,0.0,76.39
343,2024-05-22 21:57:28.989000+00:00,,16.08,0.0,76.93
344,2024-05-22 21:58:29.130000+00:00,,16.07,0.0,77.14
345,2024-05-22 21:59:29.280000+00:00,,16.11,0.0,76.93
346,2024-05-22 22:00:29.865000+00:00,,,0.0,76.7
347,2024-05-22 22:01:29.583000+00:00,,,0.0,
348,2024-05-22 22:02:29.915000+00:00,,,0.0,
349,2024-05-22 22:03:29.830000+00:00,,,0.0,
350,2024-05-22 22:04:29.995000+00:00,,,0.0,
351,2024-05-22 22:05:30.203000+00:00,,16.11,0.0,
352,2024-05-22 22:06:30.257000+00:00,1001.7,16.05,0.0,77.24
353,2024-05-22 22:07:30.446000+00:00,1001.71,16.02,0.0,77.44
354,2024-05-22 22:08:30.485000+00:00,1001.73,16.05,0.0,77.44
355,2024-05-22 22:09:30.678000+00:00,1001.71,16.04,0.0,77.34
356,2024-05-22 22:10:30.773000+00:00,1001.71,16.05,0.0,77.54
357,2024-05-22 22:11:30.827000+00:00,1001.71,,0.0,
358,2024-05-22 22:12:31.005000+00:00,1001.72,,0.0,
359,2024-05-22 22:13:31.117000+00:00,1001.73,,0.0,
360,2024-05-22 22:14:31.184000+00:00,1001.73,,0.0,
361,2024-05-22 22:15:31.351000+00:00,1001.72,,0.0,
362,2024-05-22 22:16:31.532000+00:00,1001.72,,0.0,
363,2024-05-22 22:17:31.711000+00:00,1001.72,15.65,0.0,78.19
364,2024-05-22 22:18:31.864000+00:00,1001.73,15.64,0.0,78.12
365,2024-05-22 22:19:31.930000+00:00,1001.74,15.53,0.0,78.33
366,2024-05-22 22:20:31.988000+00:00,1001.75,15.5,0.0,78.12
367,2024-05-22 22:21:32.055000+00:00,1001.77,15.51,0.0,78.22
368,2024-05-22 22:22:32.226000+00:00,1001.8,15.62,0.0,77.92
369,2024-05-22 22:23:32.342000+00:00,1001.79,15.57,0.0,77.92
370,2024-05-22 22:24:33.264000+00:00,1001.8,15.47,0.0,78.12
371,2024-05-22 22:25:32.610000+00:00,,15.43,0.0,78.42
372,2024-05-22 22:26:32.645000+00:00,,15.53,0.0,78.12
373,2024-05-22 22:27:32.807000+00:00,,15.6,0.0,77.61
374,2024-05-22 22:28:32.916000+00:00,,,0.0,77.82
375,2024-05-22 22:29:33.028000+00:00,,,0.0,77.17
